# Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
10.250,6.8,6.8,6.1,11.4
10.275,6.8,6.8,6.1,11.4
10.300,6.8,6.7,6.2,11.4
10.325,6.8,6.7,6.2,11.4
10.350,6.8,6.7,6.2,11.4
10.375,6.8,6.7,6.2,11.4
10.400,6.8,6.6,6.1,11.3
10.425,6.8,6.6,6.1,11.3
10.450,6.8,6.2,6.1,11.1
10.475,6.8,6.2,6.1,11.1
10.500,6.8,6.2,6.1,11.1
10.525,6.8,6.2,6.1,11.1
10.550,6.8,5.8,6.1,10.9
10.575,6.8,5.8,6.1,10.9
10.600,6.8,5.8,6.1,10.9
10.625,6.8,5.8,6.1,10.9
10.650,6.8,5.9,6.1,10.9
10.675,6.8,5.9,6.1,10.9
10.700,6.8,5.9,6.1,10.9
10.725,6.8,6.0,6.1,10.9
10.750,6.8,6.0,6.1,10.9
10.775,6.8,6.0,6.1,10.9
10.800,6.8,6.5,6.2,11.3
10.825,6.8,6.5,6.2,11.3
10.850,6.8,6.5,6.2,11.3
10.875,6.8,6.5,6.2,11.3
10.900,6.8,6.6,6.2,11.4
10.925,6.8,6.6,6.2,11.4
10.950,6.8,6.8,6.2,11.5
10.975,6.8,6.8,6.2,11.5
11.000,6.8,6.8,6.2,11.5
11.025,6.8,6.8,6.2,11.5
11.050,6.9,6.6,6.2,11.4
11.075,6.9,6.6,6.2,11.4
11.100,6.9,6.6,6.2,11.4
11.125,6.8,6.3,6.3,11.2
11.150,6.8,6.3,6.3,11.2
11.175,6.8,6.3,6.3,11.2
11.200,6.8,6.3,6.3,11.2
11.225,6.9,5.8,6.3,11.0
11.250,6.9,5.8,6.3,11.0
11.275,6.9,5.8,6.3,11.0
11.300,6.9,5.8,6.3,11.0
11.325,6.8,5.8,6.3,10.9
11.350,6.8,5.8,6.3,10.9
